"product_id","product_name","gender","category","pattern","color","age_group","season","price","material","sales_count","reviews_count","average_rating","out_of_stock_times","brand","discount","last_stock_date","wish_list_count","month_of_sale","year_of_sale","product_url"
"9219","Featherlight Pima Tee | Ocean Storm Signature-fit","Unisex","Shirt","Solid","Multicolor","18-35","All","58.0","Mixed","","","","","Cuts","","","","","2026","https://cutsclothing.com/products/featherweight-pima-tee-ocean-storm"
"9220","Featherlight Pima Tee | Nimbus Signature-fit","Unisex","Shirt","Solid","Multicolor","18-35","All","58.0","Mixed","","","","","Cuts","","","","","2026","https://cutsclothing.com/products/featherweight-pima-tee-nimbus"
"9221","Featherlight Pima Tee | Naples Blue Signature-fit","Unisex","Shirt","Solid","Blue","18-35","All","58.0","Mixed","","","","","Cuts","","","","","2026","https://cutsclothing.com/products/featherweight-pima-tee-naples-blue"
"9222","Featherlight Pima Tee | Clay Signature-fit","Unisex","Shirt","Solid","Multicolor","18-35","All","58.0","Mixed","","","","","Cuts Clothing","","","","","2026","https://cutsclothing.com/products/featherweight-pima-tee-clay"
"9223","AO Curve-Hem Tee | Cadet Blue Signature-Fit PYCA Pro?","Male","Shirt","Solid","Blue","18-35","All","38.0","Mixed","","","","","Cuts Clothing","","","","","2026","https://cutsclothing.com/products/ao-curve-hem-tee-cadet-blue"
"9225","Crossover Short Lined 7"" | Naples Blue Classic-fit","Male","Jeans","Solid","Blue","18-35","All","55.0","Mixed","","","","","Cuts Clothing","","","","","2026","https://cutsclothing.com/products/crossover-short-w-liner-naples-blue"
"9226","Crossover Short Unlined 7"" | Naples Blue","Male","Jeans","Solid","Blue","18-35","All","48.0","Mixed","","","","","Cuts Clothing","","","","","2026","https://cutsclothing.com/products/crossover-short-naples-blue"
"9227","Crossover Button Up | Nimbus Signature Fit","Male","Shirt","Solid","Multicolor","18-35","All","58.0","Mixed","","","","","CUTS CLOTHING","","","","","2026","https://cutsclothing.com/products/crossover-button-up-nimbus"
"9228","Crossover Button Up | Naples Blue Signature Fit","Male","Shirt","Solid","Blue","18-35","All","58.0","Mixed","","","","","CUTS CLOTHING","","","","","2026","https://cutsclothing.com/products/crossover-button-up-naples-blue"
"9229","AO Curve-Hem Tee | Naples Blue Signature-Fit PYCA Pro?","Male","Shirt","Solid","Blue","18-35","All","38.0","Mixed","","","","","Cuts Clothing","","","","","2026","https://cutsclothing.com/products/ao-curve-hem-tee-naples-blue"
"9230","AO Polo | Naples Blue Signature-fit PYCA Pro?","Male","Shirt","Solid","Blue","18-35","All","72.0","Mixed","","","","","Cuts Clothing","","","","","2026","https://cutsclothing.com/products/ao-polo-naples-blue"
"9231","AO Curve-Hem Tee | Nimbus Signature-fit PYCA Pro?","Male","Shirt","Solid","Multicolor","18-35","All","32.0","Mixed","","","","","Cuts Clothing","","","","","2026","https://cutsclothing.com/products/ao-curve-hem-tee-nimbus"
"9232","AO Curve-Hem Tee | Mercury Signature-Fit PYCA Pro?","Male","Shirt","Solid","Multicolor","18-35","All","38.0","Mixed","","","","","Cuts Clothing","","","","","2026","https://cutsclothing.com/products/ao-curve-hem-tee-mercury"
"9233","AO Polo | Nimbus Signature-fit PYCA Pro?","Male","Shirt","Solid","Multicolor","18-35","All","72.0","Mixed","","","","","Cuts Clothing","","","","","2026","https://cutsclothing.com/products/ao-polo-nimbus"
"9234","AO Forever Tee | Nimbus Classic-Fit PYCA Pro?","Male","Shirt","Solid","Multicolor","18-35","All","38.0","Mixed","","","","","Cuts Clothing","","","","","2026","https://cutsclothing.com/products/ao-forever-tee-nimbus"
"9235","Crossover Polo | Naples Blue Signature Fit","Male","Shirt","Solid","Blue","18-35","All","48.0","Mixed","","","","","Cuts Clothing","","","","","2026","https://cutsclothing.com/products/crossover-polo-naples-blue"
"9236","Crossover Polo | Nimbus Signature Fit","Male","Shirt","Solid","Multicolor","18-35","All","48.0","Mixed","","","","","Cuts","","","","","2026","https://cutsclothing.com/products/crossover-polo-nimbus"
"9237","Crossover Polo | Pacific Blue Signature Fit","Male","Shirt","Solid","Blue","18-35","All","48.0","Mixed","","","","","Cuts Clothing","","","","","2026","https://cutsclothing.com/products/crossover-polo-pacific-blue"
"9238","Crossover Tee | Nimbus Signature-Fit","Unisex","Shirt","Solid","Multicolor","18-35","All","38.0","Mixed","","","","","Cuts Clothing","","","","","2026","https://cutsclothing.com/products/crossover-tee-nimbus"
"9468","247 Oversized Hood - Jet Black","Male","Shirt","Solid","Black","18-35","Winter","165.0","Mixed","","","","","247","","","","","2026","https://representclo.com/products/247-oversized-hood-jet-black"
"9469","247 Oversized Tank - Jet Black","Male","Shirt","Solid","Black","18-35","Summer","85.0","Mixed","","","","","247","","","","","2026","https://representclo.com/products/247-oversized-tank-jet-black-1"
"9470","247 Oversized Tank - Flat White","Male","Shirt","Solid","White","18-35","Summer","85.0","Mixed","","","","","247","","","","","2026","https://representclo.com/products/247-oversized-tank-flat-white-1"
"9471","247 Oversized T-Shirt - Jet Black","Male","Shirt","Solid","Black","18-35","All","90.0","Mixed","","","","","247","","","","","2026","https://representclo.com/products/247-oversized-t-shirt-jet-black-1"
"9472","247 Dna Mesh Vest - Jet Black","Male","Shirt","Solid","Black","18-35","All","65.0","Mixed","","","","","247","","","","","2026","https://representclo.com/products/247-dna-mesh-vest-jet-black"
"9473","247 Oversized T-Shirt - Flat White","Male","Shirt","Solid","White","18-35","All","90.0","Mixed","","","","","247","","","","","2026","https://representclo.com/products/247-oversized-t-shirt-flat-white-1"
"9476","Private Members x 47 Cap - Washed Navy","Male","Accessories","Solid","Navy","18-35","All","100.0","Mixed","","","","","SC26","","","","","2026","https://representclo.com/products/private-members-x-47-cap-washed-navy"
"9479","Santa Monica x 47 Cap - Light Blue","Male","Accessories","Solid","Blue","18-35","All","100.0","Mixed","","","","","SC26","","","","","2026","https://representclo.com/products/santa-monica-x-47-cap-light-blue"
"9480","Cruz Short - Jet Black","Male","Shorts","Solid","Black","18-35","Summer","195.0","Mixed","","","","","SC26","","","","","2026","https://representclo.com/products/cruz-short-jet-black"
"9482","Westside T-Shirt - Flat White","Male","Shirt","Solid","White","18-35","All","165.0","Mixed","","","","","SC26","","","","","2026","https://representclo.com/products/westside-t-shirt-flat-white"
"9483","Santa Monica Flannel Shirt - Blush","Male","Shirt","Solid","Multicolor","18-35","All","275.0","Mixed","","","","","SC26","","","","","2026","https://representclo.com/products/santa-monica-flannel-shirt-blush"
"9484","Westside T-Shirt - Stained Black","Male","Shirt","Solid","Black","18-35","All","165.0","Mixed","","","","","SC26","","","","","2026","https://representclo.com/products/westside-t-shirt-stained-black"
"9485","California Striped Knitted Polo - Jet Black","Male","Shirt","Striped","Black","18-35","Winter","210.0","Mixed","","","","","SC26","","","","","2026","https://representclo.com/products/california-striped-knitted-polo-jet-black"
"9486","Cruz Short - Beige","Male","Shorts","Solid","Beige","18-35","Summer","195.0","Mixed","","","","","SC26","","","","","2026","https://representclo.com/products/cruz-short-beige"
"9487","Camo Cargo Short - Camo","Male","Shorts","Camouflage","Multicolor","18-35","Summer","230.0","Mixed","","","","","SC26","","","","","2026","https://representclo.com/products/camo-cargo-short-camo"
"9488","Painted Denim - Coastal Blue","Male","Jeans","Solid","Blue","18-35","All","270.0","Denim","","","","","SC26","","","","","2026","https://representclo.com/products/painted-denim-coastal-blue"
"9489","Busy Doing Nothing Denim Short - Dusty Blue","Male","Shorts","Solid","Blue","18-35","Summer","220.0","Denim","","","","","SC26","","","","","2026","https://representclo.com/products/busy-doing-nothing-denim-short-dusty-blue"
"9491","Busy Doing Nothing T-Shirt - Flat White","Male","Shirt","Solid","White","18-35","All","150.0","Mixed","","","","","SC26","","","","","2026","https://representclo.com/products/busy-doing-nothing-t-shirt-flat-white"
"9492","Long Sleeve Slub Knit T-Shirt - Flat White","Male","Shirt","Solid","White","18-35","Winter","205.0","Mixed","","","","","SC26","","","","","2026","https://representclo.com/products/long-sleeve-slub-knit-t-shirt-flat-white"
"9493","Private Members T-Shirt - Flat White","Male","Shirt","Solid","White","18-35","All","150.0","Mixed","","","","","SC26","","","","","2026","https://representclo.com/products/private-members-t-shirt-flat-white"
"9967","JASPER SHIRT - SHORT SLEEVE","Unisex","Shirt","Solid","Multicolor","18-35","All","65.0","Mixed","","","","","ThreadC","","","","","2026","https://www.frankandoak.com/products/mens-woven-shirt-sand-dune-stripe-2mwc001fe-gsand"
"9969","HEMP HERRINGBONE OVERSHIRT","Unisex","Shirt","Solid","Multicolor","18-35","All","89.0","Mixed","","","","","ThreadC","","","","","2026","https://www.frankandoak.com/products/mens-woven-shirt-moonstruck-2mwc0042fe-moonl"
"9970","HEMP HERRINGBONE SHORT","Unisex","Shorts","Solid","Multicolor","18-35","Summer","79.0","Mixed","","","","","ThreadC","","","","","2026","https://www.frankandoak.com/products/mens-woven-pants-moonstruck-2mws0008fe-moonl"
"9971","WORKSHOP SHORT","Unisex","Shorts","Solid","Multicolor","18-35","Summer","89.0","Mixed","","","","","ThreadC","","","","","2026","https://www.frankandoak.com/products/mens-woven-shorts-black-2mws006fe-bla"
"9972","ESSENTIAL CHINO SHORT","Male","Shorts","Solid","Multicolor","18-35","Summer","79.0","Mixed","","","","","ThreadC","","","","","2026","https://www.frankandoak.com/products/mens-woven-shorts-meadow-mist-2mws004fe-mtmist"
"9977","JASPER SHIRT ? LONG SLEEVE","Unisex","Shirt","Solid","Multicolor","18-35","All","75.0","Mixed","","","","","ThreadC","","","","","2026","https://www.frankandoak.com/products/mens-woven-shirt-trailstone-2mwc002fe-dese"
"9978","ENGINEERED STRIPE JOHNNY COLLAR POLO","Male","Shirt","Striped","Red","18-35","All","98.0","Mixed","","","","","ThreadC","","","","","2026","https://www.frankandoak.com/products/mens-knit-t-shirt-pebble-khaki-2mkt013fe-ekha"
"9980","DROP-NEEDLE KNIT SHIRT","Unisex","Shirt","Solid","Multicolor","18-35","Winter","109.0","Mixed","","","","","ThreadC","","","","","2026","https://www.frankandoak.com/products/mens-knit-t-shirt-trailstone-2mkt012fe-dese"
"9982","PIQUE HENLEY","Unisex","Shirt","Solid","Multicolor","18-35","All","65.0","Mixed","","","","","ThreadC","","","","","2026","https://www.frankandoak.com/products/mens-knit-t-shirt-classic-navy-2mkt011fe-dcnavy"
"9984","RELAXED HEMP TEE","Unisex","Shirt","Solid","Multicolor","18-35","All","45.0","Mixed","","","","","ThreadC","","","","","2026","https://www.frankandoak.com/products/mens-knit-t-shirt-white-2mkt010fe-wht"
"9987","ESSENTIAL RIBBED TANK","Unisex","Shirt","Solid","Multicolor","18-35","Summer","30.0","Mixed","","","","","ThreadC","","","","","2026","https://www.frankandoak.com/products/mens-knit-t-shirt-white-2mkt009fe-wht"
"9989","BOXY TEXTURED KNIT TEE","Unisex","Shirt","Solid","Red","18-35","Winter","65.0","Mixed","","","","","ThreadC","","","","","2026","https://www.frankandoak.com/products/mens-knit-t-shirt-steel-blue-2mkt005fe-ste"
"10048","Ultra Baggy Cargo Sweatpants - Off White","Male","Jeans","Solid","White","18-35","All","68.0","Mixed","","","","","mnml","","","","","2026","https://www.mnml.la/products/mnml-bottoms-ultra-baggy-cargo-sweatpants-m2026-w816-owt"
"10049","Ultra Baggy Cargo Sweatpants - Washed Navy","Male","Jeans","Solid","Navy","18-35","All","68.0","Mixed","","","","","mnml","","","","","2026","https://www.mnml.la/products/mnml-bottoms-ultra-baggy-cargo-sweatpants-m2026-w816-wny"
